Ingame Name	Arrange/Compose	Original Game	Original Name	
Heroic Defiance	Leche	Berwick Saga	The Knight's Pride	
Strider Shuffle		Final Fantasy II (Dawn of Souls)	Rebel Army Theme	
Could Be Worse	Alusq	Etrian Odyssey 2	Labyrinth VI - Forbidden Forest	
We Press On!	RandomWizard	Final Fantasy Mystic Quest	Last Castle	
The Good Times	RandomWizard	Final Fantasy Mystic Quest	World	
You Are Already Dead	Pandan	Suikoden 2	Gothic Neclord	
Friend or Foe	Pandan	Fire Emblem 4	Army of Verdane	
Puzzle Pieces	RandomWizard	Final Fantasy Mystic Quest	Dungeon of Ice	
Trailblazers Abroad	OG	Fire Emblem 12	For Liberty	
Defiant Fugitives	OG	Fire Emblem 5	Chapter's End - Leif Defeated	
Bringers of Light	ArcherBias	No More Heroes	Cashmere Cannonball	
The Tide of Change	ArcherBias	Fire Emblem 11	Footsteps of Fate	
The Pawns on e4	OG	Fire Emblem 12	The Time to Act	
Warriors on the Brink	OG	Fire Emblem 12		same leitmotif as Footsteps of Fate
Aukeman Anxiety	RandomWizard	Final Fantasy Tactics	Backfire	
[UNUSED]	Dolkar	Starcraft 1	Terran Theme 1	
Musain March	Alusq	Final Fantasy Tactics	Trisection	
Ondurite Onslaught	Alusq	Final Fantasy Tactics	In Pursuit	
Visharan Vengeance	Alusq	Final Fantasy Tactics	Decisive Battle	
Rebel Rallying Cry	RandomWizard	Final Fantasy Tactics	Espionage	
Loyalist Last Stand	Pandan	Suikoden	Army Advance	
Exit, Pursued by a Baron		Ace Attorney 2	Investigation - Core 2002	
Wanderer's Warpath		Ace Attorney 2	Trick and Magic	
Basket of Deplorables		Final Fantasy VI	Wild West	
Restorers of the Crown	Scraiza	Fire Emblem 4	Eldigan the Lionheart	
A Very Strong Man	OG	Fire Emblem 9	Decisive Attack	
In the Way of Progress		Final Fantasy I (Dawn of Souls)	Boss Battle B	
Dark Mirrors	ArcherBias	Fire Emblem 12	Tearing Shadows	
Crusade	SaXor	Valkyrie Profile	The Unfinished Battle with God Syndrome	
The Insidious Adversary		Shin Megami Tensei		
Grasping Hands	Stardust	Valkyrie Profile	Sublime Domain	
Moment to Reflect		Final Fantasy I (Dawn of Souls)	Town	
After The Storm	ArcherBias	PokeCQ		
Ascension		Fire Emblem 7	To the Heights	
Onwards, Perhaps Upwards		Final Fantasy II (Dawn of Souls)	Ancient Castle	
Perky Optimists	Alusq	Etrian Odyssey 3	Cavern of Splendor	
Stand and Be Counted				
Setbacks				
Orbweaver				
The Leveller	A Reliable Chair	Dream of Five	n/a	
Multiplex of Eye		Ace Attorney 2	Kurain Village	
Liquid Courage		Fire Emblem 7	The Inn	
White Wings		FE4/FE6		
Pressure Makes Diamonds		Ace Attorney	Investigation - Core 2001	
Shed Just One Tear		Ace Attorney	Reminiscence - Case DL-6	
You Can Trust The Vizier!		Final Fantasy II (Dawn of Souls)	Floating Castle	
Steel Rose Order	Stardust	Valkyrie Profile	Oblivion's Joy	
Another Puzzle Piece		Ace Attorney	Reminiscence - Classroom Trial	
Rena's Recollection		Ace Attorney 2	Detention Center - Security Camera's Elegy	
Rival's Machinations				
Blue Paint	RandomWizard	Final Fantasy Mystic Quest	Rearrange of Last Castle (We Press On)?	????????
In Bocca Al Lupo		Final Fantasy II (Dawn of Souls)	Castle Pandaemonium	
[UNUSED]		Fire Emblem 8	Main Theme (Reprise)	Regular FE8 music.
Set Up The Board	Levin	Final Fantasy Tactics	Party Composition	
Discontent		Final Fantasy VI	The Mines of Narshe	
Capitalism, Ho!	Dolkar	The Sims	Buy Mode	
Binding Ties	Pandan	Shenmue		
The Farrell Clan		Final Fantasy II (Dawn of Souls)	Dungeon	
Augury		Ace Attorney 2	Lock on the Heart (Psyche Lock)	
Danse Macabre		Shin Megami Tensei		
Without Mercy		Shin Megami Tensei		
Map Clear!		Fire Emblem 8		
Congratulations!		Fire Emblem 8		
INSERT COIN				
f		Final Fantasy II (Dawn of Souls)	Death Music	
b/w/l?	Pandan	Shenmue	Shenhua	
[COMPLETE]	Pandan	Shenmue	Land of Eternity	
Valiant Liberators	Sme	Romance of the Three Kingdoms IV	Field Battle	
Unconditional		Breath of Fire	Gobi's Transformation / Swimming	
Never Wanted This	RandomWizard	Final Fantasy Tactics	Antipyretic	
Night Moves	ArcherBias	Drawn To Life		
Oubliette	ArcherBias	Fire Emblem 5	Adversity	
Law of Blades	RandomWizard	Pokemon Conquest	Fighting Battle	
Gatecrasher	RandomWizard	Tactics Ogre	Air Land	
Old Lords, New Day	RandomWizard	Valkyrie Profile	An Illusion of the Brainstem	
All Crashing Down	Mycahel	Monster Hunter		
Title Screen		Final Fantasy I (Dawn of Souls)	Chaos' Temple	
